Type,Week,Density,Replicate,50 weight,Remaining 
AO,AO.4,150,4,0.0027,0.009
AO,AO.5,0,1,0.0029,0.0068
AO,AO.5,0,2,0.0025,0.0094
AO,AO.5,0,3,0.003,0.0082
AO,AO.5,0,4,0.003,0.006
AO,AO.5,2,1,0.0027,0.0058
AO,AO.5,2,2,0.0025,0.0091
AO,AO.5,2,3,0.0029,0.0068
AO,AO.5,2,4,0.0027,0.0047
AO,AO.5,6,1,0.0025,0.0052
AO,AO.5,6,2,0.0033,0.0091
AO,AO.5,6,3,0.0032,0.0081
AO,AO.5,6,4,0.0028,0.0034
AO,AO.5,20,1,0.0028,0.0067
AO,AO.5,20,2,0.0031,0.0057
AO,AO.5,20,3,0.0025,0.0058
AO,AO.5,20,4,0.0029,0.0045
AO,AO.5,50,1,0.0031,0.007
AO,AO.5,50,2,0.0028,0.0041
AO,AO.5,50,3,0.003,0.007
AO,AO.5,50,4,0.0029,0.0075
AO,AO.5,75,1,0.0023,0.0081
AO,AO.5,75,2,0.0028,0.0039
AO,AO.5,75,3,0.0028,0.0097
AO,AO.5,75,4,0.0029,0.0054
AO,AO.5,100,1,0.003,0.005
AO,AO.5,100,2,0.003,0.0052
AO,AO.5,100,3,0.0031,0.0079
AO,AO.5,100,4,0.0027,0.006
AO,AO.5,150,1,0.0027,0.0033
AO,AO.5,150,2,0.003,0.0071
AO,AO.5,150,3,0.0028,0.0051
AO,AO.5,150,4,0.0028,0.0039
AO,AO.6,0,1,0.0028,0.0039
AO,AO.6,0,2,0.0032,0.0042
AO,AO.6,0,3,0.0028,0.0095
AO,AO.6,0,4,0.0037,0.0078
AO,AO.6,2,1,0.003,0.0082
AO,AO.6,2,2,0.0025,0.0066
AO,AO.6,2,3,0.0034,0.0093
AO,AO.6,2,4,0.003,0.0089
AO,AO.6,6,1,0.003,0.0058
AO,AO.6,6,2,0.0031,0.0044
AO,AO.6,6,3,0.0034,0.0077
AO,AO.6,6,4,0.0026,0.0054
AO,AO.6,20,1,0.0029,0.0053
AO,AO.6,20,2,0.0034,0.0041
AO,AO.6,20,3,0.003,0.01
AO,AO.6,20,4,0.0033,0.0106
AO,AO.6,50,1,0.003,0.0092
AO,AO.6,50,2,0.003,0.0026
AO,AO.6,50,3,0.0032,0.0097
AO,AO.6,50,4,0.0029,0.0084
AO,AO.6,75,1,0.0032,0.0085
AO,AO.6,75,2,0.0028,0.0059
AO,AO.6,75,3,0.0031,0.0099
AO,AO.6,75,4,0.003,0.0038
AO,AO.6,100,1,0.0038,0.0052
AO,AO.6,100,2,0.0032,0.0044
